{'loss': 1.9838, 'grad_norm': 13.901289939880371, 'learning_rate': 9.404990403071018e-07, 'epoch': 0.0}
{'loss': 1.1065, 'grad_norm': 1.1188265085220337, 'learning_rate': 2.6852207293666027e-05, 'epoch': 0.09}
{'loss': 1.1078, 'grad_norm': 1.0792802572250366, 'learning_rate': 2.781190019193858e-05, 'epoch': 0.09}
{'loss': 1.1073, 'grad_norm': 1.185899019241333, 'learning_rate': 2.877159309021113e-05, 'epoch': 0.1}
{'loss': 1.1076, 'grad_norm': 1.0351954698562622, 'learning_rate': 2.9731285988483685e-05, 'epoch': 0.1}
{'loss': 1.1075, 'grad_norm': 1.1370552778244019, 'learning_rate': 2.992319726923624e-05, 'epoch': 0.1}
{'loss': 1.1078, 'grad_norm': 1.2052502632141113, 'learning_rate': 2.981652680984213e-05, 'epoch': 0.11}
{'loss': 1.1051, 'grad_norm': 1.0569957494735718, 'learning_rate': 2.9709856350448015e-05, 'epoch': 0.11}
{'loss': 1.1073, 'grad_norm': 0.9341050386428833, 'learning_rate': 2.9603185891053904e-05, 'epoch': 0.11}
{'loss': 1.1079, 'grad_norm': 1.027042269706726, 'learning_rate': 2.9496515431659793e-05, 'epoch': 0.12}
{'loss': 1.1058, 'grad_norm': 1.0515079498291016, 'learning_rate': 2.9389844972265682e-05, 'epoch': 0.12}
{'loss': 1.108, 'grad_norm': 1.1416810750961304, 'learning_rate': 2.928317451287157e-05, 'epoch': 0.12}
{'loss': 1.1082, 'grad_norm': 1.0133832693099976, 'learning_rate': 2.9176504053477458e-05, 'epoch': 0.12}
{'loss': 1.1056, 'grad_norm': 1.0313856601715088, 'learning_rate': 2.9069833594083347e-05, 'epoch': 0.13}
{'loss': 1.1069, 'grad_norm': 0.9826164841651917, 'learning_rate': 2.8963163134689236e-05, 'epoch': 0.13}
{'loss': 1.1071, 'grad_norm': 0.9675721526145935, 'learning_rate': 2.8856492675295122e-05, 'epoch': 0.13}
{'loss': 1.1063, 'grad_norm': 1.0307258367538452, 'learning_rate': 2.8749822215901008e-05, 'epoch': 0.14}
{'loss': 1.1061, 'grad_norm': 0.9597741365432739, 'learning_rate': 2.8643151756506897e-05, 'epoch': 0.14}
{'loss': 1.1052, 'grad_norm': 0.9162886738777161, 'learning_rate': 2.8536481297112786e-05, 'epoch': 0.14}
{'loss': 1.105, 'grad_norm': 1.0141842365264893, 'learning_rate': 2.8429810837718676e-05, 'epoch': 0.15}
{'loss': 1.1069, 'grad_norm': 1.0795882940292358, 'learning_rate': 2.8323140378324565e-05, 'epoch': 0.15}
{'loss': 1.1063, 'grad_norm': 0.8998876810073853, 'learning_rate': 2.821646991893045e-05, 'epoch': 0.15}
{'loss': 1.1069, 'grad_norm': 0.8848400115966797, 'learning_rate': 2.810979945953634e-05, 'epoch': 0.16}
{'loss': 1.1072, 'grad_norm': 0.9513612389564514, 'learning_rate': 2.800312900014223e-05, 'epoch': 0.16}
{'loss': 1.1052, 'grad_norm': 1.0670757293701172, 'learning_rate': 2.789645854074812e-05, 'epoch': 0.16}
{'loss': 1.1064, 'grad_norm': 1.0567363500595093, 'learning_rate': 2.7789788081354004e-05, 'epoch': 0.17}
{'loss': 1.1055, 'grad_norm': 0.9456065893173218, 'learning_rate': 2.768311762195989e-05, 'epoch': 0.17}
{'loss': 1.1055, 'grad_norm': 0.919447124004364, 'learning_rate': 2.757644716256578e-05, 'epoch': 0.17}
{'loss': 1.1054, 'grad_norm': 0.9750593304634094, 'learning_rate': 2.746977670317167e-05, 'epoch': 0.18}
{'loss': 1.1051, 'grad_norm': 0.8926339149475098, 'learning_rate': 2.7363106243777558e-05, 'epoch': 0.18}
{'loss': 1.1058, 'grad_norm': 0.980882465839386, 'learning_rate': 2.7256435784383444e-05, 'epoch': 0.18}
{'loss': 1.1072, 'grad_norm': 0.8964015245437622, 'learning_rate': 2.7149765324989333e-05, 'epoch': 0.19}
{'loss': 1.1052, 'grad_norm': 0.837695837020874, 'learning_rate': 2.7043094865595223e-05, 'epoch': 0.19}
{'loss': 1.1059, 'grad_norm': 0.9986623525619507, 'learning_rate': 2.6936424406201112e-05, 'epoch': 0.19}
{'loss': 1.1057, 'grad_norm': 0.922235369682312, 'learning_rate': 2.6829753946807e-05, 'epoch': 0.2}
{'loss': 1.107, 'grad_norm': 0.8725569248199463, 'learning_rate': 2.6723083487412884e-05, 'epoch': 0.2}
{'loss': 1.1057, 'grad_norm': 0.9311589002609253, 'learning_rate': 2.6616413028018773e-05, 'epoch': 0.2}
{'loss': 1.1068, 'grad_norm': 0.948014497756958, 'learning_rate': 2.6509742568624662e-05, 'epoch': 0.2}
{'loss': 1.1055, 'grad_norm': 0.9798091053962708, 'learning_rate': 2.640307210923055e-05, 'epoch': 0.21}
{'loss': 1.1055, 'grad_norm': 1.016764521598816, 'learning_rate': 2.629640164983644e-05, 'epoch': 0.21}
{'loss': 1.1049, 'grad_norm': 0.9383599162101746, 'learning_rate': 2.6189731190442327e-05, 'epoch': 0.21}
{'loss': 1.1054, 'grad_norm': 0.9265846014022827, 'learning_rate': 2.6083060731048216e-05, 'epoch': 0.22}
{'loss': 1.1062, 'grad_norm': 0.8696802854537964, 'learning_rate': 2.5976390271654105e-05, 'epoch': 0.22}
{'loss': 1.1054, 'grad_norm': 0.9367445707321167, 'learning_rate': 2.5869719812259994e-05, 'epoch': 0.22}
{'loss': 1.1044, 'grad_norm': 0.9456111192703247, 'learning_rate': 2.576304935286588e-05, 'epoch': 0.23}
{'loss': 1.1051, 'grad_norm': 0.9822702407836914, 'learning_rate': 2.5656378893471766e-05, 'epoch': 0.23}
{'loss': 1.1062, 'grad_norm': 0.9098892211914062, 'learning_rate': 2.5549708434077655e-05, 'epoch': 0.23}
{'loss': 1.106, 'grad_norm': 0.9084617495536804, 'learning_rate': 2.5443037974683545e-05, 'epoch': 0.24}
{'loss': 1.1059, 'grad_norm': 0.8833964467048645, 'learning_rate': 2.5336367515289434e-05, 'epoch': 0.24}
{'loss': 1.104, 'grad_norm': 0.8585532903671265, 'learning_rate': 2.522969705589532e-05, 'epoch': 0.24}
{'loss': 1.1041, 'grad_norm': 0.9012758731842041, 'learning_rate': 2.512302659650121e-05, 'epoch': 0.25}
{'loss': 1.1039, 'grad_norm': 0.9555755257606506, 'learning_rate': 2.50163561371071e-05, 'epoch': 0.25}
{'loss': 1.1041, 'grad_norm': 1.1188806295394897, 'learning_rate': 2.4909685677712988e-05, 'epoch': 0.25}
{'loss': 1.104, 'grad_norm': 0.8931717276573181, 'learning_rate': 2.4803015218318877e-05, 'epoch': 0.26}
{'loss': 1.1033, 'grad_norm': 0.8410172462463379, 'learning_rate': 2.4696344758924763e-05, 'epoch': 0.26}
{'loss': 1.1055, 'grad_norm': 0.8876384496688843, 'learning_rate': 2.458967429953065e-05, 'epoch': 0.26}
{'loss': 1.1056, 'grad_norm': 0.92149817943573, 'learning_rate': 2.4483003840136538e-05, 'epoch': 0.27}
{'loss': 1.1047, 'grad_norm': 0.8067618608474731, 'learning_rate': 2.4376333380742427e-05, 'epoch': 0.27}
{'loss': 1.1059, 'grad_norm': 0.9528865218162537, 'learning_rate': 2.4269662921348313e-05, 'epoch': 0.27}
{'loss': 1.1047, 'grad_norm': 0.8367890119552612, 'learning_rate': 2.4162992461954202e-05, 'epoch': 0.28}
{'loss': 1.1039, 'grad_norm': 0.8071838617324829, 'learning_rate': 2.405632200256009e-05, 'epoch': 0.28}
{'loss': 1.1059, 'grad_norm': 0.8591507077217102, 'learning_rate': 2.394965154316598e-05, 'epoch': 0.28}
{'loss': 1.1038, 'grad_norm': 0.8987842202186584, 'learning_rate': 2.384298108377187e-05, 'epoch': 0.28}
{'loss': 1.1025, 'grad_norm': 0.8230570554733276, 'learning_rate': 2.3736310624377756e-05, 'epoch': 0.29}
{'loss': 1.1051, 'grad_norm': 0.8748079538345337, 'learning_rate': 2.3629640164983645e-05, 'epoch': 0.29}
{'loss': 1.1053, 'grad_norm': 0.8923171758651733, 'learning_rate': 2.3522969705589535e-05, 'epoch': 0.29}
{'loss': 1.1067, 'grad_norm': 0.9523957967758179, 'learning_rate': 2.341629924619542e-05, 'epoch': 0.3}
{'loss': 1.105, 'grad_norm': 0.7888143658638, 'learning_rate': 2.330962878680131e-05, 'epoch': 0.3}
{'loss': 1.1043, 'grad_norm': 0.8466314077377319, 'learning_rate': 2.3202958327407196e-05, 'epoch': 0.3}
{'loss': 1.1054, 'grad_norm': 0.8239160180091858, 'learning_rate': 2.3096287868013085e-05, 'epoch': 0.31}
{'loss': 1.1047, 'grad_norm': 0.9797527194023132, 'learning_rate': 2.2989617408618974e-05, 'epoch': 0.31}
{'loss': 1.1041, 'grad_norm': 0.8693060874938965, 'learning_rate': 2.2882946949224863e-05, 'epoch': 0.31}
{'loss': 1.1043, 'grad_norm': 0.8373194932937622, 'learning_rate': 2.277627648983075e-05, 'epoch': 0.32}
{'loss': 1.1028, 'grad_norm': 0.8912554979324341, 'learning_rate': 2.266960603043664e-05, 'epoch': 0.32}
{'loss': 1.1046, 'grad_norm': 0.8251978158950806, 'learning_rate': 2.2562935571042528e-05, 'epoch': 0.32}
{'loss': 1.106, 'grad_norm': 0.7726002335548401, 'learning_rate': 2.2456265111648417e-05, 'epoch': 0.33}
{'loss': 1.104, 'grad_norm': 0.86052006483078, 'learning_rate': 2.2349594652254303e-05, 'epoch': 0.33}
{'loss': 1.1055, 'grad_norm': 0.8779236674308777, 'learning_rate': 2.224292419286019e-05, 'epoch': 0.33}
{'loss': 1.1052, 'grad_norm': 0.7999062538146973, 'learning_rate': 2.2136253733466078e-05, 'epoch': 0.34}
{'loss': 1.1043, 'grad_norm': 0.8754408359527588, 'learning_rate': 2.2029583274071967e-05, 'epoch': 0.34}
{'loss': 1.1048, 'grad_norm': 0.8563283085823059, 'learning_rate': 2.1922912814677857e-05, 'epoch': 0.34}
{'loss': 1.1054, 'grad_norm': 0.8349400162696838, 'learning_rate': 2.1816242355283746e-05, 'epoch': 0.35}
{'loss': 1.1034, 'grad_norm': 0.7588933706283569, 'learning_rate': 2.1709571895889632e-05, 'epoch': 0.35}
{'loss': 1.1037, 'grad_norm': 0.8114029169082642, 'learning_rate': 2.160290143649552e-05, 'epoch': 0.35}
{'loss': 1.106, 'grad_norm': 0.8929640650749207, 'learning_rate': 2.149623097710141e-05, 'epoch': 0.36}
{'loss': 1.1063, 'grad_norm': 1.9620150327682495, 'learning_rate': 2.13895605177073e-05, 'epoch': 0.36}
{'loss': 1.1033, 'grad_norm': 0.8091171979904175, 'learning_rate': 2.1282890058313182e-05, 'epoch': 0.36}
{'loss': 1.1036, 'grad_norm': 0.8840641975402832, 'learning_rate': 2.117621959891907e-05, 'epoch': 0.36}
{'loss': 1.1031, 'grad_norm': 0.8297518491744995, 'learning_rate': 2.106954913952496e-05, 'epoch': 0.37}
{'loss': 1.104, 'grad_norm': 0.7942689061164856, 'learning_rate': 2.096287868013085e-05, 'epoch': 0.37}
{'loss': 1.1037, 'grad_norm': 0.8660460710525513, 'learning_rate': 2.085620822073674e-05, 'epoch': 0.37}
{'loss': 1.1044, 'grad_norm': 0.8076332211494446, 'learning_rate': 2.0749537761342625e-05, 'epoch': 0.38}
{'loss': 1.1046, 'grad_norm': 0.7611775994300842, 'learning_rate': 2.0642867301948514e-05, 'epoch': 0.38}
{'loss': 1.1035, 'grad_norm': 0.8486608266830444, 'learning_rate': 2.0536196842554404e-05, 'epoch': 0.38}
{'loss': 1.1039, 'grad_norm': 0.8580724596977234, 'learning_rate': 2.0429526383160293e-05, 'epoch': 0.39}
{'loss': 1.1041, 'grad_norm': 0.7709938883781433, 'learning_rate': 2.032285592376618e-05, 'epoch': 0.39}
{'loss': 1.1036, 'grad_norm': 0.8290960788726807, 'learning_rate': 2.0216185464372065e-05, 'epoch': 0.39}
{'loss': 1.1053, 'grad_norm': 0.8172503113746643, 'learning_rate': 2.0109515004977954e-05, 'epoch': 0.4}
{'loss': 1.1027, 'grad_norm': 0.92636638879776, 'learning_rate': 2.0002844545583843e-05, 'epoch': 0.4}
{'loss': 1.1052, 'grad_norm': 0.865935206413269, 'learning_rate': 1.9896174086189732e-05, 'epoch': 0.4}
{'loss': 1.104, 'grad_norm': 0.7577406764030457, 'learning_rate': 1.9789503626795618e-05, 'epoch': 0.41}
{'loss': 1.1024, 'grad_norm': 0.8320552706718445, 'learning_rate': 1.9682833167401508e-05, 'epoch': 0.41}
{'loss': 1.1039, 'grad_norm': 0.7743959426879883, 'learning_rate': 1.9576162708007397e-05, 'epoch': 0.41}
{'loss': 1.1022, 'grad_norm': 0.8129385709762573, 'learning_rate': 1.9469492248613286e-05, 'epoch': 0.42}
{'loss': 1.1046, 'grad_norm': 0.7779826521873474, 'learning_rate': 1.9362821789219175e-05, 'epoch': 0.42}
{'loss': 1.1038, 'grad_norm': 0.7836650013923645, 'learning_rate': 1.925615132982506e-05, 'epoch': 0.42}
{'loss': 1.1045, 'grad_norm': 0.740016520023346, 'learning_rate': 1.9149480870430947e-05, 'epoch': 0.43}
{'loss': 1.102, 'grad_norm': 0.8110798597335815, 'learning_rate': 1.9042810411036836e-05, 'epoch': 0.43}
{'loss': 1.1063, 'grad_norm': 0.8503928780555725, 'learning_rate': 1.8936139951642726e-05, 'epoch': 0.43}
{'loss': 1.1038, 'grad_norm': 0.7235873341560364, 'learning_rate': 1.8829469492248615e-05, 'epoch': 0.44}
{'loss': 1.1031, 'grad_norm': 0.8612162470817566, 'learning_rate': 1.87227990328545e-05, 'epoch': 0.44}
{'loss': 1.1032, 'grad_norm': 0.7964193820953369, 'learning_rate': 1.861612857346039e-05, 'epoch': 0.44}
{'loss': 1.1054, 'grad_norm': 0.7482669353485107, 'learning_rate': 1.850945811406628e-05, 'epoch': 0.44}
{'loss': 1.104, 'grad_norm': 0.7423096895217896, 'learning_rate': 1.840278765467217e-05, 'epoch': 0.45}
{'loss': 1.1057, 'grad_norm': 0.874170184135437, 'learning_rate': 1.8296117195278055e-05, 'epoch': 0.45}
{'loss': 1.1054, 'grad_norm': 0.7553197741508484, 'learning_rate': 1.8189446735883944e-05, 'epoch': 0.45}
{'loss': 1.105, 'grad_norm': 0.7626954913139343, 'learning_rate': 1.808277627648983e-05, 'epoch': 0.46}
{'loss': 1.1039, 'grad_norm': 0.754680335521698, 'learning_rate': 1.797610581709572e-05, 'epoch': 0.46}
{'loss': 1.1041, 'grad_norm': 0.8390526175498962, 'learning_rate': 1.7869435357701608e-05, 'epoch': 0.46}
{'loss': 1.1037, 'grad_norm': 0.8511866331100464, 'learning_rate': 1.7762764898307494e-05, 'epoch': 0.47}
{'loss': 1.1042, 'grad_norm': 0.9074140191078186, 'learning_rate': 1.7656094438913383e-05, 'epoch': 0.47}
{'loss': 1.104, 'grad_norm': 0.8178727626800537, 'learning_rate': 1.7549423979519273e-05, 'epoch': 0.47}
{'loss': 1.1043, 'grad_norm': 0.8086658120155334, 'learning_rate': 1.7442753520125162e-05, 'epoch': 0.48}
{'loss': 1.1044, 'grad_norm': 0.7444902658462524, 'learning_rate': 1.7336083060731048e-05, 'epoch': 0.48}
{'loss': 1.1045, 'grad_norm': 0.7229592800140381, 'learning_rate': 1.7229412601336937e-05, 'epoch': 0.48}
{'loss': 1.1025, 'grad_norm': 0.8055598735809326, 'learning_rate': 1.7122742141942826e-05, 'epoch': 0.49}
{'loss': 1.1043, 'grad_norm': 0.7683173418045044, 'learning_rate': 1.7016071682548712e-05, 'epoch': 0.49}
{'loss': 1.1037, 'grad_norm': 0.7160328030586243, 'learning_rate': 1.69094012231546e-05, 'epoch': 0.49}
{'loss': 1.1035, 'grad_norm': 0.702247142791748, 'learning_rate': 1.6802730763760487e-05, 'epoch': 0.5}
{'loss': 1.103, 'grad_norm': 0.8029559850692749, 'learning_rate': 1.6696060304366377e-05, 'epoch': 0.5}
{'loss': 1.1051, 'grad_norm': 0.7238330245018005, 'learning_rate': 1.6589389844972266e-05, 'epoch': 0.5}
{'loss': 1.1029, 'grad_norm': 0.7827150821685791, 'learning_rate': 1.6482719385578155e-05, 'epoch': 0.51}
{'loss': 1.1032, 'grad_norm': 0.743282675743103, 'learning_rate': 1.6376048926184044e-05, 'epoch': 0.51}
{'loss': 1.1035, 'grad_norm': 0.7675036787986755, 'learning_rate': 1.626937846678993e-05, 'epoch': 0.51}
{'loss': 1.1036, 'grad_norm': 0.7180609703063965, 'learning_rate': 1.616270800739582e-05, 'epoch': 0.52}
{'loss': 1.1037, 'grad_norm': 0.7233495116233826, 'learning_rate': 1.605603754800171e-05, 'epoch': 0.52}
{'loss': 1.104, 'grad_norm': 0.6758435368537903, 'learning_rate': 1.5949367088607595e-05, 'epoch': 0.52}
{'loss': 1.1029, 'grad_norm': 0.6904557943344116, 'learning_rate': 1.5842696629213484e-05, 'epoch': 0.52}
{'loss': 1.105, 'grad_norm': 0.6798739433288574, 'learning_rate': 1.573602616981937e-05, 'epoch': 0.53}
{'loss': 1.1044, 'grad_norm': 0.7350125908851624, 'learning_rate': 1.562935571042526e-05, 'epoch': 0.53}
{'loss': 1.1041, 'grad_norm': 0.6935386657714844, 'learning_rate': 1.552268525103115e-05, 'epoch': 0.53}
{'loss': 1.1024, 'grad_norm': 0.7110862135887146, 'learning_rate': 1.5416014791637038e-05, 'epoch': 0.54}
{'loss': 1.1026, 'grad_norm': 0.6715921759605408, 'learning_rate': 1.5309344332242924e-05, 'epoch': 0.54}
{'loss': 1.102, 'grad_norm': 0.6670812964439392, 'learning_rate': 1.5202673872848813e-05, 'epoch': 0.54}
{'loss': 1.1024, 'grad_norm': 0.7978553175926208, 'learning_rate': 1.5096003413454702e-05, 'epoch': 0.55}
{'loss': 1.1042, 'grad_norm': 0.695318877696991, 'learning_rate': 1.498933295406059e-05, 'epoch': 0.55}
{'loss': 1.103, 'grad_norm': 0.8417949080467224, 'learning_rate': 1.4882662494666477e-05, 'epoch': 0.55}
{'loss': 1.1023, 'grad_norm': 0.7139244079589844, 'learning_rate': 1.4775992035272366e-05, 'epoch': 0.56}
{'loss': 1.1036, 'grad_norm': 0.7587481141090393, 'learning_rate': 1.4669321575878254e-05, 'epoch': 0.56}
{'loss': 1.1023, 'grad_norm': 0.7104640007019043, 'learning_rate': 1.4562651116484142e-05, 'epoch': 0.56}
{'loss': 1.102, 'grad_norm': 0.7449458837509155, 'learning_rate': 1.445598065709003e-05, 'epoch': 0.57}
{'loss': 1.1046, 'grad_norm': 0.717513382434845, 'learning_rate': 1.4349310197695918e-05, 'epoch': 0.57}
{'loss': 1.102, 'grad_norm': 0.7207504510879517, 'learning_rate': 1.4242639738301808e-05, 'epoch': 0.57}
{'loss': 1.1036, 'grad_norm': 0.7318891286849976, 'learning_rate': 1.4135969278907695e-05, 'epoch': 0.58}
{'loss': 1.1043, 'grad_norm': 0.733058750629425, 'learning_rate': 1.4029298819513583e-05, 'epoch': 0.58}
{'loss': 1.1032, 'grad_norm': 0.7022587060928345, 'learning_rate': 1.392262836011947e-05, 'epoch': 0.58}
{'loss': 1.1041, 'grad_norm': 0.7293295860290527, 'learning_rate': 1.381595790072536e-05, 'epoch': 0.59}
{'loss': 1.1041, 'grad_norm': 0.7311421036720276, 'learning_rate': 1.3709287441331247e-05, 'epoch': 0.59}
{'loss': 1.1018, 'grad_norm': 0.7182480096817017, 'learning_rate': 1.3602616981937137e-05, 'epoch': 0.59}
{'loss': 1.1039, 'grad_norm': 0.7572338581085205, 'learning_rate': 1.3495946522543024e-05, 'epoch': 0.6}
{'loss': 1.1021, 'grad_norm': 0.6805356740951538, 'learning_rate': 1.3389276063148912e-05, 'epoch': 0.6}
{'loss': 1.1037, 'grad_norm': 0.7130540013313293, 'learning_rate': 1.3282605603754801e-05, 'epoch': 0.6}
{'loss': 1.1019, 'grad_norm': 0.6757204532623291, 'learning_rate': 1.3175935144360689e-05, 'epoch': 0.6}
{'loss': 1.1045, 'grad_norm': 0.693261981010437, 'learning_rate': 1.3069264684966578e-05, 'epoch': 0.61}
{'loss': 1.1035, 'grad_norm': 0.6993309855461121, 'learning_rate': 1.2962594225572464e-05, 'epoch': 0.61}
{'loss': 1.1048, 'grad_norm': 0.7259208559989929, 'learning_rate': 1.2855923766178353e-05, 'epoch': 0.61}
{'loss': 1.1052, 'grad_norm': 0.7377163767814636, 'learning_rate': 1.2749253306784242e-05, 'epoch': 0.62}
{'loss': 1.1022, 'grad_norm': 0.697378396987915, 'learning_rate': 1.264258284739013e-05, 'epoch': 0.62}
{'loss': 1.1021, 'grad_norm': 0.6872500777244568, 'learning_rate': 1.2535912387996019e-05, 'epoch': 0.62}
{'loss': 1.1022, 'grad_norm': 0.6807945966720581, 'learning_rate': 1.2429241928601905e-05, 'epoch': 0.63}
{'loss': 1.1033, 'grad_norm': 0.6826794147491455, 'learning_rate': 1.2322571469207794e-05, 'epoch': 0.63}
{'loss': 1.1017, 'grad_norm': 0.7142282724380493, 'learning_rate': 1.2215901009813682e-05, 'epoch': 0.63}
{'loss': 1.104, 'grad_norm': 0.6943020820617676, 'learning_rate': 1.2109230550419571e-05, 'epoch': 0.64}
{'loss': 1.1025, 'grad_norm': 0.721695065498352, 'learning_rate': 1.200256009102546e-05, 'epoch': 0.64}
{'loss': 1.1035, 'grad_norm': 0.737983226776123, 'learning_rate': 1.1895889631631346e-05, 'epoch': 0.64}
{'loss': 1.1029, 'grad_norm': 0.6713271141052246, 'learning_rate': 1.1789219172237236e-05, 'epoch': 0.65}
{'loss': 1.1036, 'grad_norm': 0.7330556511878967, 'learning_rate': 1.1682548712843123e-05, 'epoch': 0.65}
{'loss': 1.1011, 'grad_norm': 0.7236785888671875, 'learning_rate': 1.1575878253449012e-05, 'epoch': 0.65}
{'loss': 1.1023, 'grad_norm': 0.7311554551124573, 'learning_rate': 1.14692077940549e-05, 'epoch': 0.66}
{'loss': 1.1031, 'grad_norm': 0.6792922019958496, 'learning_rate': 1.1362537334660788e-05, 'epoch': 0.66}
{'loss': 1.1025, 'grad_norm': 1.2328197956085205, 'learning_rate': 1.1255866875266677e-05, 'epoch': 0.66}
{'loss': 1.1014, 'grad_norm': 0.7079529762268066, 'learning_rate': 1.1149196415872564e-05, 'epoch': 0.67}
{'loss': 1.1033, 'grad_norm': 0.8922690153121948, 'learning_rate': 1.1042525956478454e-05, 'epoch': 0.67}
{'loss': 1.1028, 'grad_norm': 0.6781339049339294, 'learning_rate': 1.0935855497084341e-05, 'epoch': 0.67}
{'loss': 1.1038, 'grad_norm': 0.68397456407547, 'learning_rate': 1.0829185037690229e-05, 'epoch': 0.68}
{'loss': 1.1015, 'grad_norm': 0.7879304885864258, 'learning_rate': 1.0722514578296116e-05, 'epoch': 0.68}
{'loss': 1.1016, 'grad_norm': 0.6908517479896545, 'learning_rate': 1.0615844118902006e-05, 'epoch': 0.68}
{'loss': 1.1018, 'grad_norm': 0.70456862449646, 'learning_rate': 1.0509173659507895e-05, 'epoch': 0.68}
{'loss': 1.1032, 'grad_norm': 0.7101051807403564, 'learning_rate': 1.0402503200113782e-05, 'epoch': 0.69}
{'loss': 1.1019, 'grad_norm': 0.6950275897979736, 'learning_rate': 1.029583274071967e-05, 'epoch': 0.69}
{'loss': 1.1033, 'grad_norm': 0.6957566738128662, 'learning_rate': 1.0189162281325558e-05, 'epoch': 0.69}
{'loss': 1.1022, 'grad_norm': 0.7112258672714233, 'learning_rate': 1.0082491821931447e-05, 'epoch': 0.7}
{'loss': 1.1018, 'grad_norm': 0.6696310639381409, 'learning_rate': 9.975821362537334e-06, 'epoch': 0.7}
{'loss': 1.1026, 'grad_norm': 0.7017490863800049, 'learning_rate': 9.869150903143224e-06, 'epoch': 0.7}
{'loss': 1.1027, 'grad_norm': 0.7088099718093872, 'learning_rate': 9.762480443749111e-06, 'epoch': 0.71}
{'loss': 1.1034, 'grad_norm': 0.6994123458862305, 'learning_rate': 9.655809984354999e-06, 'epoch': 0.71}
{'loss': 1.1023, 'grad_norm': 0.678188145160675, 'learning_rate': 9.549139524960888e-06, 'epoch': 0.71}
{'loss': 1.1018, 'grad_norm': 0.6720396280288696, 'learning_rate': 9.442469065566776e-06, 'epoch': 0.72}
{'loss': 1.1034, 'grad_norm': 0.702179491519928, 'learning_rate': 9.335798606172665e-06, 'epoch': 0.72}
{'loss': 1.1033, 'grad_norm': 0.6828100085258484, 'learning_rate': 9.229128146778551e-06, 'epoch': 0.72}
{'loss': 1.1032, 'grad_norm': 0.7113006114959717, 'learning_rate': 9.12245768738444e-06, 'epoch': 0.73}
