/workspace/simcse/SimCSE-multilanguages/train.py:151: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.
  trainer = Trainer(
Detected kernel version 5.4.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Using auto half precision backend
***** Running training *****
  Num examples = 1,000,000
  Num Epochs = 1
  Instantaneous batch size per device = 64
  Total train batch size (w. parallel, distributed & accumulation) = 64
  Gradient Accumulation steps = 1
  Total optimization steps = 15,625
  Number of trainable parameters = 278,043,648
{'loss': 1.1153, 'grad_norm': 1.2393038272857666, 'learning_rate': 2.8265600000000003e-05, 'epoch': 0.4352}
{'loss': 1.1164, 'grad_norm': 1.2372703552246094, 'learning_rate': 2.7625600000000002e-05, 'epoch': 0.448}
{'loss': 1.1131, 'grad_norm': 1.1336222887039185, 'learning_rate': 2.69856e-05, 'epoch': 0.4608}
{'loss': 1.1125, 'grad_norm': 1.1933026313781738, 'learning_rate': 2.6345600000000004e-05, 'epoch': 0.4736}
{'loss': 1.1129, 'grad_norm': 1.1805638074874878, 'learning_rate': 2.5705600000000003e-05, 'epoch': 0.4864}
{'loss': 1.1117, 'grad_norm': 1.1492691040039062, 'learning_rate': 2.50656e-05, 'epoch': 0.4992}
{'loss': 1.1126, 'grad_norm': 1.1664310693740845, 'learning_rate': 2.4425600000000002e-05, 'epoch': 0.512}
{'loss': 1.1135, 'grad_norm': 1.1338971853256226, 'learning_rate': 2.37856e-05, 'epoch': 0.5248}
{'loss': 1.1159, 'grad_norm': 1.2816822528839111, 'learning_rate': 2.31456e-05, 'epoch': 0.5376}
{'loss': 1.1123, 'grad_norm': 1.1431759595870972, 'learning_rate': 2.25056e-05, 'epoch': 0.5504}
{'loss': 1.1112, 'grad_norm': 1.0206032991409302, 'learning_rate': 2.18656e-05, 'epoch': 0.5632}
{'loss': 1.1131, 'grad_norm': 1.1344871520996094, 'learning_rate': 2.1225600000000002e-05, 'epoch': 0.576}
{'loss': 1.1133, 'grad_norm': 1.1147960424423218, 'learning_rate': 2.05856e-05, 'epoch': 0.5888}
{'loss': 1.1121, 'grad_norm': 1.0093605518341064, 'learning_rate': 1.99456e-05, 'epoch': 0.6016}
{'loss': 1.1137, 'grad_norm': 1.56968355178833, 'learning_rate': 1.93056e-05, 'epoch': 0.6144}
{'loss': 1.1109, 'grad_norm': 1.1043440103530884, 'learning_rate': 1.86656e-05, 'epoch': 0.6272}
{'loss': 1.1122, 'grad_norm': 1.9635627269744873, 'learning_rate': 1.8025600000000002e-05, 'epoch': 0.64}
{'loss': 1.1119, 'grad_norm': 0.9987524747848511, 'learning_rate': 1.7385600000000002e-05, 'epoch': 0.6528}
{'loss': 1.1099, 'grad_norm': 0.994924008846283, 'learning_rate': 1.67456e-05, 'epoch': 0.6656}
{'loss': 1.1116, 'grad_norm': 1.026638150215149, 'learning_rate': 1.61056e-05, 'epoch': 0.6784}
{'loss': 1.1104, 'grad_norm': 0.9589903354644775, 'learning_rate': 1.54656e-05, 'epoch': 0.6912}
{'loss': 1.108, 'grad_norm': 0.9650070667266846, 'learning_rate': 1.48256e-05, 'epoch': 0.704}
{'loss': 1.1112, 'grad_norm': 0.9468607902526855, 'learning_rate': 1.4185600000000002e-05, 'epoch': 0.7168}
{'loss': 1.1107, 'grad_norm': 0.9578039050102234, 'learning_rate': 1.35488e-05, 'epoch': 0.7296}
{'loss': 1.112, 'grad_norm': 0.9068461060523987, 'learning_rate': 1.29088e-05, 'epoch': 0.7424}
{'loss': 1.1094, 'grad_norm': 0.8909653425216675, 'learning_rate': 1.2268800000000002e-05, 'epoch': 0.7552}
{'loss': 1.11, 'grad_norm': 6.17611026763916, 'learning_rate': 1.1628800000000001e-05, 'epoch': 0.768}
{'loss': 1.1092, 'grad_norm': 1.384641170501709, 'learning_rate': 1.09888e-05, 'epoch': 0.7808}
{'loss': 1.1121, 'grad_norm': 0.9250192642211914, 'learning_rate': 1.03488e-05, 'epoch': 0.7936}
{'loss': 1.1119, 'grad_norm': 0.9466758370399475, 'learning_rate': 9.7088e-06, 'epoch': 0.8064}
{'loss': 1.1085, 'grad_norm': 0.9182705283164978, 'learning_rate': 9.0688e-06, 'epoch': 0.8192}
{'loss': 1.1095, 'grad_norm': 1.0466008186340332, 'learning_rate': 8.428800000000001e-06, 'epoch': 0.832}
{'loss': 1.1087, 'grad_norm': 1.1849031448364258, 'learning_rate': 7.7888e-06, 'epoch': 0.8448}
{'loss': 1.1092, 'grad_norm': 0.8603275418281555, 'learning_rate': 7.1488e-06, 'epoch': 0.8576}
{'loss': 1.1089, 'grad_norm': 0.9171090722084045, 'learning_rate': 6.508799999999999e-06, 'epoch': 0.8704}
{'loss': 1.1087, 'grad_norm': 0.880771279335022, 'learning_rate': 5.8688e-06, 'epoch': 0.8832}
{'loss': 1.1086, 'grad_norm': 0.8878781795501709, 'learning_rate': 5.228800000000001e-06, 'epoch': 0.896}
{'loss': 1.1088, 'grad_norm': 0.9108250141143799, 'learning_rate': 4.5888e-06, 'epoch': 0.9088}
{'loss': 1.1079, 'grad_norm': 0.9818381667137146, 'learning_rate': 3.9488e-06, 'epoch': 0.9216}
{'loss': 1.1098, 'grad_norm': 0.9203827381134033, 'learning_rate': 3.3088e-06, 'epoch': 0.9344}
{'loss': 1.1095, 'grad_norm': 0.8890911936759949, 'learning_rate': 2.6688e-06, 'epoch': 0.9472}
{'loss': 1.1081, 'grad_norm': 0.9906837344169617, 'learning_rate': 2.0288e-06, 'epoch': 0.96}
{'loss': 1.1112, 'grad_norm': 0.9475804567337036, 'learning_rate': 1.3888e-06, 'epoch': 0.9728}
{'loss': 1.1088, 'grad_norm': 0.8664950132369995, 'learning_rate': 7.488e-07, 'epoch': 0.9856}
{'loss': 1.108, 'grad_norm': 0.8728328347206116, 'learning_rate': 1.0880000000000001e-07, 'epoch': 0.9984}


Training completed. Do not forget to share your model on huggingface.co/models =)


{'train_runtime': 2729.0531, 'train_samples_per_second': 366.427, 'train_steps_per_second': 5.725, 'train_loss': 1.1774623880615234, 'epoch': 1.0}
tokenizer config file saved in ./outputs/hi/xlm-roberta-base/unsup/checkpoints/tokenizer_config.json
Special tokens file saved in ./outputs/hi/xlm-roberta-base/unsup/checkpoints/special_tokens_map.json
